"['neo mellow', 'pop']",3I3AMW9h9pCOSy4jrxWqaw,Bullets,0.122,2.38e-05,0.431,-9.069,0.675,0.285,0.569,73.092,0.0603,1,203080,3,8
"['orquesta tipica', 'tango', 'vintage tango']",5P2xfJU4XDpI0pPOKOm3w6,Pregonera,0.976,0.000614,0.552,-18.717,0.0881,0.144,0.634,112.146,0.0653,1,186149,4,6
"['nashville sound', 'traditional country']",6SzZlxQqIvvW8MTtQIpfKg,Devil Woman - Live At The Philadelphia Civic Center/1970,0.614,0.0,0.891,-10.659,0.447,0.555,0.619,131.177,0.0703,1,56427,4,4
"['jangle pop', 'power pop']",7Ch2DN9NjHWVluQtCAwqSN,Agar's Revenge,0.339,0.000754,0.435,-13.843,0.698,0.187,0.398,119.991,0.0578,0,221707,4,4
"['blues', 'blues-rock', 'classic rock', 'electric blues', 'hard rock', 'modern blues', 'rock', 'southern rock', 'texas blues', 'traditional blues']",2Oe0xPMr62lmTptYSS9ha9,Johnny B. Goode,0.0881,0.0,0.945,-9.739,0.726,0.178,0.57,81.856,0.0322,1,164080,4,11
"['bossa nova', 'mpb', 'samba']",1yg7jLMOODoKN5QKaMV1FE,Bem Me Quer,0.866,0.0393,0.512,-8.396,0.482,0.11,0.584,153.0,0.048,1,161333,4,4
"['pagode', 'sertanejo', 'sertanejo universitario']",3s2FOndZwAjGUlBf1Qnv35,Demorou Demais,0.409,0.0,0.932,-5.101,0.849,0.317,0.573,160.282,0.0566,1,266760,4,7
"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",3vbVSxq7PUcXD149jQcvQI,Way Out Love,0.166,0.00121,0.92,-10.121,0.742,0.735,0.889,116.547,0.0884,0,251760,4,7
"['classical', 'classical performance', 'violin']",4n9KADwy37XqM0nc4dTDYo,"Brahms / Arr Joachim: 21 Hungarian Dances, WoO 1: No. 2 in D Minor",0.899,0.319,0.454,-20.18,0.111,0.113,0.333,89.871,0.0456,1,179133,4,2
"['colombian pop', 'cumbia', 'dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'rock en espanol', 'tropical']",4TJNW3JPNoxtsqmZjLKGk0,Mis Planes Son Amarte,0.689,2.73e-06,0.424,-9.381,0.511,0.0855,0.612,90.164,0.137,1,210520,4,9
"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",2nlMK2HSURbSZkcd4zKJNO,Perguntas Sem Respostas - Ao Vivo,0.295,0.0,0.775,-6.7,0.829,0.965,0.787,106.008,0.0608,1,164640,3,11
"['avant-garde', 'bow pop', 'classical performance', 'compositional ambient', 'fourth world', 'modern performance', 'string quartet']",2OBcKQT6CVW7OxS2GptEfm,String Quartet No. 3 (Mishima): 1957-Award Montage,0.957,0.92,0.161,-26.0,0.0561,0.0947,0.254,74.156,0.0397,0,212267,4,0
"['alternative rock', 'art rock', 'experimental rock', 'folk-pop', 'freak folk', 'garage rock', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'new wave', 'noise pop', 'ok indie', 'okc indie', 'pop rock', 'psychedelic rock', 'rock']",1WcONLHvfnIHWdFC87NJKV,Communication Breakdown - Remastered,6.36e-05,0.295,0.215,-6.663,0.893,0.182,0.144,191.571,0.126,0,224373,4,9
"['banda', 'grupera', 'norteno', 'regional mexican', 'tejano']",3rt3Bhqe25OXaI8aWlNQt0,Aprendi,0.167,0.0,0.854,-7.247,0.504,0.218,0.79,134.635,0.0314,1,180133,4,0
"['ballet class', 'orchestra']",3QEpIXChtvba6qH20eAUgm,"Violin Concerto No.1 In D Major, Op.6, MS.21: 1. Allegro maestoso",0.764,7.25e-05,0.211,-28.856,0.0307,0.111,0.366,126.002,0.0509,1,1166027,4,2
"['alternative rock', 'permanent wave', 'pop rock', 'rock']",47i0RQi76b6UUCIBDgu2TR,Supernatural Superserious,0.00512,0.00209,0.769,-2.74,0.676,0.307,0.446,125.033,0.0487,1,203880,4,2
"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",4z0PnuB07fxtVZZRWsCfxb,100 Grandkids,0.371,0.0,0.373,-3.766,0.749,0.47,0.735,93.718,0.0874,0,278507,4,10
"['hollywood', 'scorecore', 'soundtrack']",1U4wizVEjAWUWj2sj9i6kY,That's OK,0.92,0.969,0.0366,-20.984,0.0741,0.265,0.193,69.37,0.0393,0,113267,4,1
"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'post-grunge', 'rock']",1IOmBJQ5YBeZETImky5Y9j,Laminate Man,0.000505,0.00033,0.277,-4.837,0.876,0.38,0.418,133.091,0.0666,1,197267,4,8
